Date,Open,High,Low,Close,Volume,Value
2024-12-09,3.175,3.495,3.12,3.33,6398000,21322455.0
2024-12-10,3.255,3.335,3.215,3.255,2369400,7731358.0
2024-12-11,3.2,3.275,3.155,3.19,1830400,5890282.0
2024-12-12,3.185,3.22,3.14,3.155,1911600,6070289.5
2024-12-13,3.12,3.14,3.065,3.125,1482800,4587442.5
2024-12-16,3.12,3.13,3.01,3.025,1588600,4862663.0
2024-12-17,3.02,3.145,2.985,2.995,1804500,5498691.0
2024-12-18,3.03,3.065,2.99,3.06,929400,2818917.5
2024-12-19,3.07,3.27,3.065,3.13,3697100,11783112.5
2024-12-20,3.165,3.335,3.155,3.295,4624000,15048901.5
2024-12-23,3.295,3.35,3.28,3.305,4433300,14672358.0
2024-12-24,3.29,3.295,3.175,3.19,2691700,8687555.5
2024-12-25,3.2,3.25,3.185,3.195,1899800,6128346.0
2024-12-26,3.22,3.29,3.2,3.215,2657300,8590971.0
2024-12-27,3.23,3.235,3.155,3.185,1966300,6257289.0
2024-12-28,3.195,3.215,3.14,3.18,2127900,6771360.0
2024-12-30,3.2,3.45,3.18,3.42,9324700,31104673.5
2025-01-03,3.42,3.625,3.3,3.415,9225400,31951919.0
2025-01-06,3.455,4.15,3.455,4.15,47786000,189950064.0
2025-01-08,4.49,4.555,4.17,4.18,44222100,193955012.0
2025-01-09,4.22,4.225,3.825,3.94,14747600,58216321.0
2025-01-10,3.975,4.24,3.965,4.13,16666900,68436375.0
2025-01-13,4.13,4.215,4.0,4.045,6543000,26705357.5
2025-01-14,4.045,4.07,3.96,4.03,4505400,18074560.5
2025-01-15,4.03,4.055,3.8,3.915,8580900,33609962.5
2025-01-16,3.965,4.14,3.935,4.06,7056200,28589530.0
2025-01-17,4.06,4.125,4.01,4.07,4833500,19638189.5
2025-01-20,4.06,4.1,3.925,3.98,4457500,17878549.5
2025-01-21,3.955,4.0,3.915,3.97,1877600,7422211.0
2025-01-22,4.0,4.36,3.98,4.36,57428400,248355532.5
2025-01-23,4.36,4.465,4.15,4.195,14289100,60536667.0
2025-01-24,4.225,4.295,4.195,4.23,4793200,20359055.0
2025-01-27,4.25,4.25,4.105,4.12,3067800,12787259.0
2025-01-28,4.11,4.2,4.04,4.13,3008100,12340424.0
2025-01-29,4.15,4.28,4.075,4.115,6477200,26921181.0
2025-01-30,4.115,4.2,4.11,4.135,1893100,7877591.0
2025-01-31,4.16,4.38,4.16,4.28,13941300,59837383.5
2025-02-03,4.23,4.395,4.2,4.205,6995400,30137178.0
2025-02-04,4.235,4.35,4.215,4.26,6037500,25963329.0
2025-02-05,4.285,4.29,4.11,4.195,4712300,19782119.0
2025-02-06,4.28,4.375,4.205,4.26,11323800,48623908.5
2025-02-07,4.28,4.45,4.205,4.25,13160800,56841174.0
2025-02-10,4.3,4.335,4.245,4.27,3043700,13037844.0
2025-02-11,4.27,4.295,4.18,4.225,3537200,14977527.5
2025-02-12,4.245,4.3,4.15,4.17,5371000,22665916.0
2025-02-13,4.29,4.34,4.175,4.22,6668300,28234540.5
2025-02-14,4.29,4.57,4.235,4.32,36041000,158278768.0
2025-02-17,4.42,4.65,4.41,4.6,19781000,90311818.0
2025-02-18,4.595,4.795,4.505,4.56,17587500,81401511.0
2025-02-19,4.575,4.63,4.4,4.52,7005500,31498133.0
2025-02-20,4.55,4.625,4.525,4.545,5520900,25307469.0
2025-02-21,4.565,4.8,4.545,4.625,7100200,32876368.5
2025-02-24,4.655,4.75,4.595,4.65,5861400,27361058.0
2025-02-25,4.66,4.72,4.52,4.62,7437300,34425953.0
2025-02-26,4.675,4.715,4.45,4.57,7727800,35506149.0
2025-02-27,4.48,4.51,4.325,4.4,6041000,26711595.5
2025-02-28,4.4,4.43,4.195,4.315,4696100,20104455.0
2025-03-03,4.28,4.305,4.155,4.29,3230800,13637932.5
2025-03-04,4.305,4.415,4.265,4.3,2929800,12720077.0
2025-03-05,4.325,4.44,4.305,4.38,3142400,13724621.0
2025-03-06,4.42,4.625,4.375,4.45,15073000,68196264.5
2025-03-07,4.48,4.515,4.305,4.315,3187700,14114514.0
2025-03-10,4.375,4.47,4.3,4.33,2874500,12558980.5
2025-03-11,4.33,4.395,4.235,4.245,3223200,13889695.5
2025-03-12,4.245,4.27,4.16,4.18,2562800,10757327.0
2025-03-13,4.195,4.195,4.07,4.095,1885000,7752287.5
2025-03-14,4.095,4.24,4.095,4.22,2160600,9049031.5
2025-03-17,4.28,4.35,4.115,4.265,4452600,18970034.5
2025-03-18,4.28,4.305,4.21,4.22,2356800,10011746.5
2025-03-19,4.265,4.31,4.145,4.23,2987600,12647568.5
2025-03-20,4.27,4.295,4.225,4.245,1746500,7425322.5
2025-03-21,4.245,4.28,4.15,4.165,1650600,6964638.0
2025-03-24,4.19,4.23,4.12,4.185,1800800,7499148.0
2025-03-25,4.2,4.22,4.125,4.15,977200,4059068.0
2025-03-26,4.18,4.3,4.13,4.185,4997000,21074796.5
2025-03-27,4.145,4.17,4.035,4.065,3094100,12634768.0
2025-03-28,4.035,4.05,3.9,3.98,5077200,20178006.0
2025-03-31,3.905,3.99,3.855,3.905,4210700,16436952.0
2025-04-01,3.95,4.11,3.88,3.97,5572800,22236550.5
2025-04-02,3.965,4.015,3.905,3.945,5542100,21907791.5
2025-04-03,3.945,4.07,3.805,3.83,8338300,32968447.5
2025-04-04,3.9,3.92,3.59,3.655,8180700,30395939.5
2025-04-07,3.635,3.645,3.38,3.575,6298900,22126502.0
2025-04-08,3.635,3.75,3.575,3.575,5246000,19154449.0
2025-04-09,3.51,3.625,3.26,3.365,6522800,22263514.5
2025-04-10,3.54,3.74,3.515,3.55,8879900,32114420.5
2025-04-11,3.6,3.685,3.525,3.54,3605400,12928577.5
2025-04-14,3.63,3.63,3.505,3.51,3372100,11999409.5
2025-04-15,3.58,3.58,3.46,3.49,2640300,9237315.5
2025-04-16,3.515,3.575,3.46,3.545,1059800,3751245.0
2025-04-17,3.665,3.69,3.575,3.61,4025100,14606496.5
2025-04-18,3.615,3.67,3.535,3.605,4773300,17180715.0
2025-04-21,3.635,3.7,3.62,3.65,2291200,8387661.5
2025-04-22,3.68,3.765,3.64,3.7,3568400,13166230.0
2025-04-23,3.68,3.78,3.655,3.72,2527800,9393493.5
2025-04-24,3.75,3.75,3.665,3.685,1727500,6394836.5
2025-04-25,3.715,3.725,3.665,3.68,908400,3357209.0
2025-04-28,3.685,3.86,3.685,3.78,6080200,22959668.0
2025-04-29,3.76,3.785,3.65,3.67,1833500,6814905.0
2025-04-30,3.675,3.695,3.58,3.65,1232700,4488181.5
2025-05-02,3.645,3.665,3.53,3.53,1831800,6588456.0
2025-05-05,3.525,3.535,3.385,3.385,1650300,5734783.5
2025-05-06,3.425,3.61,3.39,3.565,1927600,6790491.0
2025-05-07,3.59,3.655,3.505,3.535,1161500,4145254.5
2025-05-08,3.55,3.59,3.525,3.545,456000,1621884.0
2025-05-12,3.645,3.695,3.585,3.595,2377800,8640006.5
2025-05-13,3.585,3.715,3.495,3.54,3371900,12085120.0
2025-05-14,3.54,3.595,3.515,3.565,1087900,3867394.0
2025-05-15,3.55,3.55,3.435,3.495,1197900,4175360.5
2025-05-16,3.5,3.575,3.465,3.51,956700,3357298.5
2025-05-19,3.55,3.595,3.5,3.545,2114100,7467729.5
2025-05-20,3.59,3.59,3.42,3.46,3089600,10729545.5
2025-05-21,3.46,3.515,3.45,3.46,752800,2617614.5
2025-05-22,3.45,3.45,3.37,3.39,1389800,4719636.0
2025-05-23,3.37,3.465,3.335,3.42,1276800,4352265.0
2025-05-26,3.405,3.41,3.3,3.315,1652500,5505358.5
2025-05-27,3.3,3.37,3.3,3.335,970000,3241553.0
2025-05-28,3.39,3.47,3.365,3.405,3262300,11171973.5
2025-05-29,3.41,3.545,3.395,3.43,6048300,21020030.0
2025-05-30,3.435,3.475,3.4,3.41,1293600,4447846.0
2025-06-02,3.39,3.41,3.3,3.375,1523800,5113063.0
2025-06-03,3.38,3.425,3.33,3.37,2518600,8493188.0
2025-06-04,3.38,3.5,3.35,3.35,3628200,12326095.0
2025-06-05,3.38,3.41,3.365,3.39,1298400,4403754.5
2025-06-06,3.395,3.45,3.33,3.35,2865900,9735418.5
2025-06-09,3.35,3.37,3.3,3.3,737300,2451353.5
2025-06-10,3.32,3.385,3.31,3.345,641700,2144025.5
2025-06-11,3.315,3.335,3.31,3.335,482600,1603174.5
2025-06-13,3.345,3.35,3.3,3.3,574400,1903413.5
