Date,Open,High,Low,Close,Volume,Value
2024-06-17,7375.0,7390.5,7202.0,7203.0,611618,4452094004.5
2024-06-18,7203.0,7234.0,6993.5,7036.0,1018445,7251758641.0
2024-06-19,7045.0,7107.5,6806.0,6885.0,1393012,9689661742.5
2024-06-20,6885.5,7171.0,6633.5,7112.5,4612673,31748452648.5
2024-06-21,7124.0,7191.5,7024.0,7084.0,899558,6394082925.5
2024-06-24,7070.0,7125.0,7032.5,7051.5,713882,5061262073.0
2024-06-25,7077.0,7246.5,7002.0,7204.0,738989,5256214923.5
2024-06-26,7229.5,7313.0,7194.5,7275.0,741739,5388307365.0
2024-06-27,7280.0,7293.0,7161.0,7227.0,667991,4822388079.0
2024-06-28,7226.5,7271.5,7172.0,7211.0,403655,2914097633.0
2024-07-01,7200.5,7330.0,7190.0,7326.0,508703,3688631463.5
2024-07-02,7346.0,7358.0,7285.0,7309.5,613544,4494853006.5
2024-07-03,7320.0,7321.0,7220.0,7230.5,436086,3174489483.0
2024-07-04,7222.0,7260.0,7080.0,7109.5,757640,5425994501.5
2024-07-05,7109.5,7255.0,7035.0,7201.0,1424892,10215105996.5
2024-07-08,7230.0,7255.0,7080.5,7097.0,685099,4905124153.5
2024-07-09,7100.0,7121.5,6930.0,6941.0,911953,6402430607.5
2024-07-10,6940.0,6978.0,6681.0,6689.0,1698272,11592819481.0
2024-07-11,6689.5,6995.5,6681.0,6969.5,1320713,9074849351.5
2024-07-12,6997.0,7046.0,6830.5,6908.0,779534,5378892975.0
2024-07-15,6924.0,6925.0,6771.0,6827.0,783115,5340547066.5
2024-07-16,6820.0,6898.5,6727.5,6881.0,952553,6481774217.5
2024-07-17,6881.0,6905.0,6788.0,6814.0,578382,3958318423.5
2024-07-18,6813.5,6950.0,6760.0,6931.5,554360,3794354377.0
2024-07-19,6930.5,6991.5,6871.5,6913.0,616236,4275570472.5
2024-07-22,6963.0,7025.0,6934.5,7008.0,749045,5234925108.0
2024-07-23,7008.5,7023.0,6950.0,6973.0,493630,3444516522.0
2024-07-24,6961.0,7025.0,6933.0,6939.5,737494,5134651490.5
2024-07-25,6939.5,6965.0,6884.5,6902.5,433637,3005585372.0
2024-07-26,6905.0,6984.0,6859.5,6890.0,1505430,10418989417.5
2024-07-29,6891.0,6892.5,6706.5,6727.5,1646706,11164210250.5
2024-07-30,6727.0,6830.0,6705.0,6805.5,1187235,8030016855.0
2024-07-31,6820.0,6830.0,6731.0,6759.5,887783,6017597679.0
2024-08-01,6759.0,6770.0,6678.0,6687.0,809491,5441271817.0
2024-08-02,6679.5,6715.0,6577.0,6591.0,804496,5335472176.5
2024-08-05,6498.0,6543.5,6336.5,6417.5,2088915,13417659175.5
2024-08-06,6480.0,6498.0,6356.0,6447.0,861008,5538224091.0
2024-08-07,6450.0,6548.5,6357.5,6505.0,1237949,7983693995.0
2024-08-08,6515.5,6551.5,6403.0,6410.5,935807,6062528840.0
2024-08-09,6420.0,6489.5,6385.0,6408.5,587504,3779150765.0
2024-08-12,6404.0,6462.0,6311.0,6448.5,981979,6270217972.0
2024-08-13,6460.5,6469.5,6410.5,6444.5,806252,5192616528.5
2024-08-14,6449.0,6539.0,6371.5,6385.0,1231282,7950452533.5
2024-08-15,6398.0,6418.0,6334.0,6347.0,691372,4403672616.0
2024-08-16,6355.0,6360.0,6226.5,6239.5,888102,5592435486.5
2024-08-19,6255.0,6284.0,6103.5,6138.5,1232327,7640343093.0
2024-08-20,6140.0,6248.0,6050.0,6147.5,1504834,9270319132.0
2024-08-21,6155.0,6325.0,6107.0,6309.5,1957283,12213500323.0
2024-08-22,6314.0,6538.5,6278.0,6419.0,3933131,25228282440.0
2024-08-23,6420.0,6472.0,6320.0,6428.0,1503388,9599269438.5
2024-08-26,6591.0,6677.0,6506.0,6645.0,1900761,12542439401.0
2024-08-27,6645.0,6680.0,6458.0,6526.5,1121065,7348931758.5
2024-08-28,6522.0,6522.5,6302.5,6389.0,1520944,9735298847.5
2024-08-29,6401.0,6411.0,6250.5,6324.0,1585477,10021032518.0
2024-08-30,6330.0,6334.0,6118.0,6145.0,1548065,9634920054.0
2024-09-02,6135.0,6205.0,6040.5,6115.0,2109620,12876024284.5
2024-09-03,6150.5,6246.5,6069.0,6184.0,2089894,12881869956.5
2024-09-04,6189.0,6297.0,6171.0,6265.0,1373273,8528051212.0
2024-09-05,6281.0,6360.0,6235.0,6272.0,1047129,6601525792.5
2024-09-06,6287.0,6357.0,6232.0,6332.0,883982,5580521889.5
2024-09-09,6348.0,6525.5,6348.0,6520.0,1134535,7322960662.0
2024-09-10,6536.0,6548.5,6376.0,6435.0,1047003,6768569702.5
2024-09-11,6448.0,6500.0,6402.0,6413.5,964773,6231233415.5
2024-09-12,6420.0,6448.0,6370.5,6448.0,1056700,6771796811.0
2024-09-13,6453.5,6625.0,6304.0,6624.5,1568669,10153320503.5
2024-09-16,6650.0,6824.5,6581.5,6820.5,1604887,10805152178.0
2024-09-17,6847.0,6860.0,6742.0,6803.0,1064602,7242952606.0
2024-09-18,6803.0,6831.0,6730.5,6745.5,827432,5601361528.5
2024-09-19,6750.0,6830.0,6718.0,6811.0,1111079,7521262073.5
2024-09-20,6815.5,6898.0,6812.5,6897.5,753711,5175940435.0
2024-09-23,6900.0,7000.0,6899.0,6982.5,888222,6185084276.5
2024-09-24,6985.0,7050.5,6865.5,6954.5,1013610,7060348882.5
2024-09-25,6954.5,6990.0,6860.0,6867.0,824516,5707168209.5
2024-09-26,6849.0,6890.0,6770.0,6890.0,859841,5859750516.5
2024-09-27,6908.0,6946.0,6831.5,6914.5,550853,3794592928.0
2024-09-30,6948.5,6972.5,6852.0,6874.0,709120,4915762583.0
2024-10-01,6875.0,6995.5,6773.5,6969.0,1399542,9612025796.0
2024-10-02,6969.0,6980.0,6781.5,6816.5,1025658,7074932867.5
2024-10-03,6820.0,6957.0,6780.5,6956.0,1063795,7298976007.0
2024-10-04,6960.0,7076.5,6925.5,7009.0,1210876,8485637357.5
2024-10-07,7025.0,7066.0,6956.0,7055.0,963664,6762230369.0
2024-10-08,7043.0,7055.0,6960.5,6973.5,749417,5250618990.0
2024-10-09,6973.5,6991.0,6861.0,6883.5,968062,6681874228.5
2024-10-10,6892.0,6904.5,6845.0,6857.0,1238377,8511756818.5
2024-10-11,6858.0,6882.5,6792.0,6837.0,1511100,10306099875.5
2024-10-14,6824.0,6947.5,6785.0,6931.5,1482262,10187388345.0
2024-10-15,6911.0,7019.0,6878.5,6991.0,824416,5742534571.5
2024-10-16,6997.0,7055.0,6928.5,6980.0,808905,5653266361.0
2024-10-17,6982.0,7009.0,6924.0,6931.5,635784,4425982686.0
2024-10-18,6915.5,6995.5,6906.0,6963.0,973265,6762986714.5
2024-10-21,6979.5,7047.0,6963.0,7020.0,769308,5397533978.0
2024-10-22,7008.5,7024.0,6945.0,6950.0,738603,5156818887.0
2024-10-23,6945.0,7016.5,6910.0,6920.0,749290,5215222788.0
2024-10-24,6920.0,6986.0,6890.0,6958.5,589487,4088383758.0
2024-10-25,6970.0,7080.0,6721.5,6750.5,2637080,18248827668.5
2024-10-28,6695.0,6785.0,6580.0,6733.5,2429892,16274513453.0
2024-10-29,6749.0,6866.0,6708.0,6837.0,1160800,7876714019.5
2024-10-30,6855.0,6894.0,6773.5,6792.0,908779,6217817380.0
2024-10-31,6792.0,6869.0,6747.0,6794.5,797571,5428919113.0
2024-11-01,6805.5,6850.0,6720.5,6844.5,888732,6028476726.0
2024-11-02,6839.0,6865.0,6810.0,6842.0,381130,2607875067.0
2024-11-05,6867.0,6920.0,6821.0,6873.0,512809,3522276653.5
2024-11-06,6999.5,7098.5,6933.5,6996.5,1325613,9302846538.5
2024-11-07,6994.0,7139.0,6950.0,7132.0,671029,4716114392.5
2024-11-08,7150.0,7192.0,7061.0,7172.0,958430,6828808905.5
2024-11-11,7205.5,7235.0,6995.0,7022.5,1556463,11033293010.0
2024-11-12,7025.0,7071.5,6967.0,6990.0,691473,4844381202.0
2024-11-13,6990.0,7048.0,6918.0,6925.0,739997,5174987861.5
2024-11-14,6924.5,7013.5,6900.0,6932.5,872290,6062226361.0
2024-11-15,6932.5,7037.0,6911.0,7021.0,505412,3524203226.0
2024-11-18,6957.0,7008.0,6874.0,6955.5,625828,4365123153.5
2024-11-19,6958.0,6991.5,6810.0,6842.0,866383,5970434825.0
2024-11-20,6851.0,6952.5,6776.0,6798.5,858069,5894726203.0
2024-11-21,6810.0,6949.0,6768.0,6938.5,1045777,7146708797.5
2024-11-22,6941.0,6998.0,6868.0,6940.0,598338,4141645999.5
2024-11-25,6946.0,6979.0,6835.5,6886.5,828826,5717370901.0
2024-11-26,6870.5,6930.0,6820.5,6869.5,986149,6777218261.5
2024-11-27,6870.0,6916.5,6770.0,6896.5,1480873,10132032756.0
2024-11-28,6943.5,6943.5,6818.0,6905.5,1242835,8532743263.0
2024-11-29,6905.0,6910.0,6832.0,6860.5,1298921,8908600122.5
2024-12-02,6880.0,6880.0,6799.0,6810.0,1385540,9465677174.5
2024-12-03,6812.0,6823.0,6713.5,6771.0,839251,5679650406.5
2024-12-04,6784.5,6812.0,6714.0,6720.5,956078,6454057534.5
2024-12-05,6725.5,6861.0,6676.5,6841.0,975760,6599434311.0
2024-12-06,6860.0,6913.5,6800.0,6860.0,641205,4390866716.0
2024-12-09,6877.0,6997.0,6844.0,6973.0,715056,4950657527.5
2024-12-10,6995.5,6995.5,6880.0,6894.0,693187,4804774031.5
2024-12-11,6894.0,6914.0,6821.0,6895.5,699084,4798394194.0
2024-12-12,6898.0,6959.5,6862.0,6862.5,686966,4744015112.5
2024-12-13,6868.5,6884.5,6750.0,6800.0,652618,4444705544.0
2024-12-16,6770.0,6787.5,6685.5,6779.5,1120955,7550441345.0
2024-12-17,6330.0,6398.0,6256.0,6290.5,1466988,9275025962.5
2024-12-18,6297.0,6395.0,6238.0,6375.0,729988,4610329183.0
2024-12-19,6379.5,6492.0,6263.0,6294.0,1864781,11900442464.5
2024-12-20,6294.0,6804.0,6280.0,6725.0,2156227,14156739044.5
2024-12-23,6787.0,6980.0,6761.0,6919.0,1041273,7177585526.0
2024-12-24,6919.0,6960.5,6825.0,6833.0,724126,4989193949.0
2024-12-25,6830.0,7006.5,6787.5,6987.5,1053928,7291924636.0
2024-12-26,6988.0,7096.5,6988.0,7003.0,883163,6224649528.0
2024-12-27,7019.0,7038.0,6921.5,6990.5,572201,3990323085.5
2024-12-28,6990.5,7012.0,6955.5,6998.0,454148,3174950855.5
2024-12-30,7011.0,7260.0,7003.0,7235.0,774886,5560649924.5
2025-01-03,7255.0,7260.0,7101.0,7122.0,262096,1874743272.5
2025-01-06,7114.5,7160.0,7070.0,7088.0,221706,1576880769.0
2025-01-08,7090.0,7124.0,7045.0,7089.0,245014,1737360404.5
2025-01-09,7100.0,7117.5,6933.0,6947.5,542286,3804100800.0
2025-01-10,6972.5,7146.0,6901.5,7022.5,1696373,11926474901.0
2025-01-13,7110.0,7110.0,6979.5,7010.5,700870,4935683288.5
2025-01-14,7010.5,7129.5,6980.0,7115.5,631568,4465363527.0
