Date,Open,High,Low,Close,Volume,Value
2024-06-17,320.0,320.45,316.85,317.65,15476190,4932076583.1
2024-06-18,317.65,318.0,313.02,314.34,22024090,6947091443.3
2024-06-19,314.38,314.78,307.51,310.7,42183660,13105247559.5
2024-06-20,310.7,314.72,306.02,314.15,72789950,22616269152.5
2024-06-21,315.0,316.0,312.6,314.14,29116600,9152147994.0
2024-06-24,314.7,319.0,314.14,317.25,29607080,9387538945.4
2024-06-25,317.5,319.89,316.28,319.8,25978180,8270536250.9
2024-06-26,320.1,324.56,319.8,324.55,42491110,13721465556.5
2024-06-27,324.8,327.83,322.63,327.16,46771370,15221129798.9
2024-06-28,327.87,329.3,325.8,327.15,40451800,13250355870.2
2024-07-01,327.64,329.0,326.25,327.1,31710510,10396387155.0
2024-07-02,327.35,328.87,326.82,328.37,21155650,6941082279.2
2024-07-03,328.58,330.45,327.0,328.2,32156700,10584686930.8
2024-07-04,328.39,329.57,323.81,324.66,40766110,13317132561.5
2024-07-05,324.71,327.0,321.01,325.0,40433010,13096717923.0
2024-07-08,325.76,327.44,323.74,324.07,27756900,9025370831.1
2024-07-09,324.3,325.33,317.5,319.99,54199810,17436610896.9
2024-07-10,319.0,320.3,314.3,316.68,88512550,28065530252.0
2024-07-11,289.96,296.98,285.22,295.87,168030600,48738315678.7
2024-07-12,296.0,297.48,290.97,292.21,49999170,14669454270.5
2024-07-15,293.0,293.86,283.5,284.38,58737560,16923746968.1
2024-07-16,284.49,285.69,276.7,285.25,82870860,23286385147.6
2024-07-17,285.84,289.96,283.23,284.68,42824670,12284503604.5
2024-07-18,284.68,289.99,282.73,289.83,34090360,9784301935.1
2024-07-19,290.67,292.58,289.2,289.9,31022060,9026251889.6
2024-07-22,291.0,294.95,291.0,294.71,33386610,9779002585.2
2024-07-23,295.47,295.48,293.36,294.39,22190840,6529116896.2
2024-07-24,294.39,296.67,293.2,295.69,24565710,7263003449.2
2024-07-25,295.69,297.3,294.2,296.37,22868740,6768216500.8
2024-07-26,296.4,300.0,292.67,293.3,84909830,25147137351.5
2024-07-29,293.0,293.0,286.0,286.58,52445850,15134258844.7
2024-07-30,286.5,291.99,284.32,290.0,42572480,12290569982.7
2024-07-31,290.47,291.2,288.01,289.3,25974520,7524943880.7
2024-08-01,289.87,290.69,287.04,287.21,18646450,5391099058.0
2024-08-02,287.21,287.99,284.37,286.04,30086580,8601524731.8
2024-08-05,282.79,283.46,275.17,275.49,82141460,22871130952.3
2024-08-06,277.01,281.16,276.35,279.4,43600150,12169833605.6
2024-08-07,280.0,283.27,277.21,282.2,48494490,13599338250.0
2024-08-08,283.4,285.42,280.0,281.09,42425830,12008636097.6
2024-08-09,281.0,282.67,279.62,281.44,22302730,6275073796.0
2024-08-12,280.01,281.5,278.03,280.74,27767330,7768907946.4
2024-08-13,281.05,284.33,280.42,283.92,24058790,6791087827.3
2024-08-14,284.3,284.7,280.12,280.32,21757040,6148973531.0
2024-08-15,280.5,280.85,276.73,278.01,28665290,7984061069.2
2024-08-16,278.05,279.0,274.32,274.6,26195850,7255848404.4
2024-08-19,275.0,275.56,265.02,268.17,68626200,18530524836.8
2024-08-20,268.35,269.49,263.36,266.2,54276130,14489552806.6
2024-08-21,266.2,267.8,263.86,266.93,37127480,9866186881.8
2024-08-22,266.93,268.5,260.15,261.6,47907530,12655851217.7
2024-08-23,261.61,262.8,255.56,259.5,76719180,19878279030.4
2024-08-26,263.55,266.95,261.54,265.39,49974250,13205967280.5
2024-08-27,265.83,266.07,259.82,260.5,32345170,8495741636.8
2024-08-28,259.9,262.47,254.99,262.47,47867970,12416454599.4
2024-08-29,262.58,264.19,258.36,260.31,34802250,9085153605.5
2024-08-30,260.5,261.8,254.0,254.45,46118490,11826212287.4
2024-09-02,254.03,254.2,242.65,244.31,97662430,24225650310.2
2024-09-03,244.4,250.0,240.01,244.04,105673360,25885880197.1
2024-09-04,244.51,253.5,242.8,253.01,70652080,17536502500.4
2024-09-05,255.0,258.17,251.11,252.82,78616830,20008156071.4
2024-09-06,253.01,255.35,250.31,254.77,41336330,10455174955.5
2024-09-09,256.32,263.45,255.3,263.31,66128940,17203253856.9
2024-09-10,264.61,264.61,258.7,261.29,57937830,15137344244.0
2024-09-11,260.31,262.0,257.5,258.2,38293710,9961674795.0
2024-09-12,257.8,258.68,252.85,254.93,46358080,11841477728.8
2024-09-13,255.19,259.92,248.75,258.25,111180360,28260374145.3
2024-09-16,259.64,264.37,257.8,263.79,52643180,13789541715.2
2024-09-17,264.12,267.0,260.55,265.99,57565620,15202488870.0
2024-09-18,265.73,267.99,263.15,263.4,43376640,11523855679.3
2024-09-19,263.94,266.19,262.32,264.5,35683170,9440735658.1
2024-09-20,264.52,269.21,264.5,269.08,38767000,10346363727.7
2024-09-23,269.3,273.8,269.3,273.17,49396850,13432987817.1
2024-09-24,273.9,273.94,270.5,272.92,36984140,10076908612.0
2024-09-25,272.92,273.8,267.3,267.8,43803870,11862922074.2
2024-09-26,267.54,269.76,265.41,267.88,31888540,8524972559.0
2024-09-27,268.9,269.7,267.17,268.07,18889430,5073287299.4
2024-09-30,269.26,272.33,268.14,268.49,42519740,11510452992.3
2024-10-01,267.6,268.68,264.0,266.29,52125800,13875642502.8
2024-10-02,266.01,268.0,258.52,259.31,46519200,12233584613.0
2024-10-03,259.31,264.49,257.2,264.25,56534560,14759403716.9
2024-10-04,264.96,265.44,262.11,264.09,25992290,6861324907.4
2024-10-07,264.25,267.0,261.37,263.39,28940600,7618217009.6
2024-10-08,263.0,263.8,261.89,262.4,16163780,4248218099.7
2024-10-09,262.42,263.8,259.59,260.86,25021350,6531053134.9
2024-10-10,260.88,261.64,258.91,259.98,17677230,4598989252.9
2024-10-11,259.8,260.07,256.8,256.94,24848580,6408762717.8
2024-10-14,256.15,263.91,254.1,261.28,64205680,16646352622.2
2024-10-15,260.94,263.7,259.84,262.03,26247370,6879583803.8
2024-10-16,262.05,264.72,258.45,259.5,40206260,10504935123.6
2024-10-17,259.5,260.45,256.03,256.57,24658790,6366640213.7
2024-10-18,256.21,258.9,254.41,257.19,30020250,7693100993.4
2024-10-21,257.3,259.85,256.78,258.21,21471680,5547686295.3
2024-10-22,258.1,258.8,255.25,255.42,17064680,4381858399.4
2024-10-23,255.1,255.9,251.34,252.01,30420950,7718228941.6
2024-10-24,252.01,254.27,250.25,252.64,28764370,7245386056.0
2024-10-25,252.72,255.35,245.7,246.35,80587930,20126043138.8
2024-10-28,245.02,249.0,241.61,242.56,71940990,17652871569.7
2024-10-29,243.2,244.6,239.88,242.66,47134580,11430089075.7
2024-10-30,242.7,246.22,241.11,241.45,39826840,9721006737.9
2024-10-31,241.4,242.8,236.23,237.9,57274130,13737746155.2
2024-11-01,237.9,239.1,234.57,238.03,48370770,11441541301.6
2024-11-02,237.9,240.0,237.71,238.97,14895450,3558577653.7
2024-11-05,239.6,241.2,238.07,239.23,28172270,6757011275.8
2024-11-06,247.0,248.56,242.05,243.6,78965200,19402189406.5
2024-11-07,243.26,251.0,242.16,250.93,44425190,10948449973.3
2024-11-08,251.5,255.99,250.5,255.98,58086370,14677974806.8
2024-11-11,257.99,261.3,256.49,260.73,67847940,17578684699.6
2024-11-12,259.99,260.7,255.27,255.77,40926850,10539814448.5
2024-11-13,255.29,258.96,254.05,254.7,44540020,11439153914.4
2024-11-14,254.26,255.92,248.6,249.52,49011750,12366776262.5
2024-11-15,249.31,254.43,248.05,253.43,44201700,11113484983.2
2024-11-18,249.0,251.94,247.3,248.72,51559910,12859671851.2
2024-11-19,249.03,249.83,239.62,240.59,75474680,18395321114.9
2024-11-20,241.82,243.59,234.74,237.05,70349830,16837071934.3
2024-11-21,237.15,240.94,234.0,240.47,75143570,17757313155.9
2024-11-22,240.5,241.0,234.78,236.0,45621420,10836393146.5
2024-11-25,236.0,237.1,227.25,227.81,76469770,17727272699.1
2024-11-26,227.8,231.9,221.2,223.16,96795030,21854770442.0
2024-11-27,223.9,226.47,219.2,226.3,112457620,25043210046.8
2024-11-28,227.0,229.5,222.48,228.56,67840700,15359712601.0
2024-11-29,228.48,236.99,227.55,236.49,70303900,16387603634.6
2024-12-02,237.02,238.7,234.32,235.17,45142250,10677792835.0
2024-12-03,235.29,235.97,230.26,230.8,45322870,10536715774.0
2024-12-04,231.0,233.79,224.3,224.55,72417390,16617122007.6
2024-12-05,224.57,233.75,222.82,233.48,86989140,19851593351.8
2024-12-06,233.63,238.25,231.52,237.84,81096070,19088098358.7
2024-12-09,239.29,240.51,236.75,237.29,52493640,12526394065.3
2024-12-10,238.0,238.01,230.65,230.82,58740230,13710391986.5
2024-12-11,230.5,234.39,229.22,234.19,64914300,15026987712.0
2024-12-12,234.0,235.95,228.52,229.02,59171170,13748238586.9
2024-12-13,228.9,231.33,227.85,228.7,46124660,10570497704.4
2024-12-16,228.62,229.05,224.38,225.53,54593280,12350005599.1
2024-12-17,225.6,227.49,223.72,226.5,45885470,10353636763.7
2024-12-18,226.72,230.8,224.33,230.15,58056480,13200949659.8
2024-12-19,230.16,234.99,227.71,229.0,124061370,28715332741.6
2024-12-20,229.1,258.98,228.03,257.6,235186220,58117516791.8
2024-12-23,260.0,270.0,256.51,264.9,163165650,43158379935.7
2024-12-24,264.94,266.79,261.02,264.34,83808660,22159031394.9
2024-12-25,263.62,273.0,260.31,271.69,125539910,33690236575.4
2024-12-26,272.0,274.25,269.1,269.56,75735270,20555363427.4
2024-12-27,269.61,272.16,268.57,271.2,52144690,14113195712.4
2024-12-28,271.35,273.99,270.4,272.83,39585910,10781650537.5
2024-12-30,274.0,279.49,273.7,279.43,52633750,14559469001.2
2025-01-03,280.0,280.41,271.8,272.25,43086870,11853565984.9
2025-01-06,270.88,274.41,270.07,274.37,28454750,7737094495.2
2025-01-08,273.07,277.87,273.07,277.0,26634660,7356165148.5
2025-01-09,276.71,278.77,270.73,271.8,52952880,14491325783.8
2025-01-10,272.31,279.53,270.27,278.77,71154220,19623132401.4
2025-01-13,280.62,284.75,278.6,279.8,66601710,18781966095.5
2025-01-14,279.84,282.36,277.41,279.85,46037150,12888705821.9
2025-01-15,280.0,282.82,276.06,282.77,52864450,14768778206.9
2025-01-16,283.7,284.0,281.18,281.8,49453530,13975953014.3
2025-01-17,282.2,284.64,280.19,283.53,51876150,14674366108.3
2025-01-20,285.1,286.23,277.61,278.19,67946640,19166116805.7
2025-01-21,279.39,281.85,276.32,281.85,40478260,11305302708.9
2025-01-22,282.0,284.0,280.2,280.36,47106880,13286163684.6
2025-01-23,280.79,280.79,277.35,280.49,38573410,10774689057.8
2025-01-24,281.0,282.75,279.25,280.74,32155210,9028740828.2
2025-01-27,280.72,280.97,275.01,275.23,39035610,10825883885.4
2025-01-28,275.25,279.26,274.01,278.35,39030820,10821743892.1
2025-01-29,278.0,282.18,277.12,280.36,39161630,10974299055.3
2025-01-30,280.44,282.5,280.36,281.97,28020880,7888310432.6
2025-01-31,281.97,284.11,280.27,280.73,40333120,11395665602.0
2025-02-03,280.21,280.35,278.0,279.55,30373760,8477125815.3
2025-02-04,279.55,281.41,275.7,277.4,23986670,6685824653.4
2025-02-05,277.3,283.89,275.34,282.88,43070410,12035124307.1
2025-02-06,283.89,288.92,282.09,287.15,69363150,19885584125.2
2025-02-07,287.66,288.9,285.08,285.81,27626070,7924869053.3
2025-02-10,287.61,294.55,287.61,289.94,73052590,21267188580.4
2025-02-11,290.35,294.1,289.3,294.06,56009830,16355814309.0
2025-02-12,294.3,314.4,291.3,314.0,185816680,56277149585.3
2025-02-13,315.61,318.72,307.2,310.1,116925810,36604642922.8
2025-02-14,315.59,317.84,303.06,309.87,126690930,39525316749.6
2025-02-17,314.0,319.55,312.31,319.5,84827010,26824441532.1
2025-02-18,319.99,320.92,310.21,312.95,85001770,26823149077.9
2025-02-19,313.53,317.25,311.01,315.91,50484340,15868701994.0
2025-02-20,315.91,317.96,314.02,315.05,33164900,10477695990.6
2025-02-21,315.48,316.69,312.0,314.74,32725520,10285495344.6
2025-02-24,314.92,316.4,313.0,316.03,35730390,11245263329.0
2025-02-25,316.03,318.59,315.62,316.97,38826960,12313543551.0
2025-02-26,316.97,317.45,308.31,310.22,73827020,23040552826.8
2025-02-27,310.22,312.45,305.43,307.1,60936490,18840933180.5
2025-02-28,306.01,310.4,304.05,309.63,65681370,20165953351.0
2025-03-03,309.84,310.94,300.2,305.5,69490830,21118040593.4
2025-03-04,306.95,318.5,306.14,316.4,88130960,27673062102.7
2025-03-05,316.4,318.3,313.0,313.56,57792400,18258763571.0
2025-03-06,313.6,317.43,313.57,315.18,31963110,10074119599.5
2025-03-07,315.19,321.87,310.69,316.92,110871260,35131355149.6
2025-03-10,316.98,320.63,316.37,317.57,39315360,12523199814.1
2025-03-11,317.7,321.98,315.57,319.69,64935150,20743337430.1
2025-03-12,319.99,320.9,315.8,318.39,41964450,13354955867.1
2025-03-13,318.39,320.5,312.5,316.37,78552090,24872186568.7
2025-03-14,316.0,321.1,314.12,320.51,51762530,16479988152.4
2025-03-17,320.69,326.97,319.82,326.02,65837470,21405545613.7
2025-03-18,326.2,329.77,323.82,324.06,72947120,23858590971.5
2025-03-19,324.5,326.88,322.3,325.3,39800890,12924249479.5
2025-03-20,325.41,326.0,321.8,324.05,42356790,13733625340.5
2025-03-21,323.8,326.08,322.15,323.26,28707780,9307475192.5
2025-03-24,323.26,323.94,318.51,319.47,33041960,10625951470.3
2025-03-25,320.0,322.2,314.65,319.8,48328480,15393054646.5
2025-03-26,319.9,320.88,315.01,315.23,20580040,6538901138.5
2025-03-27,315.51,317.16,311.95,311.96,36146350,11358486600.3
2025-03-28,311.96,313.65,305.65,308.04,51876870,16031305830.6
2025-03-31,307.8,310.88,298.8,309.72,63464450,19421334931.8
2025-04-01,310.5,312.9,302.7,303.24,46088340,14189067837.8
2025-04-02,303.23,306.5,301.21,306.11,40207020,12239463777.8
2025-04-03,306.21,309.2,296.0,302.09,52408560,15830422691.6
2025-04-04,303.55,304.37,284.4,285.35,88719200,26036638105.7
2025-04-07,285.25,294.0,275.76,287.56,148100880,42133204557.9
2025-04-08,290.0,294.66,281.5,282.03,65532930,18971747387.6
2025-04-09,280.91,294.48,276.33,293.4,109378190,31178982733.2
2025-04-10,294.09,296.75,288.27,292.46,62862840,18462379507.9
2025-04-11,293.0,300.48,292.8,299.81,50418210,15032498602.8
2025-04-14,300.18,302.4,295.13,296.5,43463400,13002981126.2
2025-04-15,296.51,300.45,295.6,297.99,24258710,7237200065.2
2025-04-16,298.0,303.3,296.06,300.8,30103500,9025534176.1
2025-04-17,300.89,305.07,300.41,304.8,37579800,11378109269.2
