Date,Open,High,Low,Close,Volume,Value
2025-03-07,788.5,793.0,775.0,786.0,68810,53985963.0
2025-03-10,786.0,797.0,777.0,781.5,66557,52271741.5
2025-03-11,780.0,783.0,769.0,776.0,80243,62248231.0
2025-03-12,772.5,776.0,750.5,761.5,74819,56985177.5
2025-03-13,760.0,760.5,725.0,742.0,158329,117672949.0
2025-03-14,742.0,764.0,738.5,758.5,94374,71161003.0
2025-03-17,766.0,785.0,763.0,779.5,92991,71799496.5
2025-03-18,776.5,783.5,757.0,764.5,70277,54334985.0
2025-03-19,764.5,774.5,761.5,767.5,48940,37573355.5
2025-03-20,771.0,813.0,771.0,782.5,496574,394938558.0
2025-03-21,783.0,791.0,759.0,768.0,128109,99050633.5
2025-03-24,767.0,776.0,754.5,757.0,86174,66218491.5
2025-03-25,757.0,777.5,751.0,764.0,85655,65477891.0
2025-03-26,762.5,770.5,755.0,756.0,36045,27487142.5
2025-03-27,760.0,760.0,729.5,734.0,87394,64537371.5
2025-03-28,735.0,741.5,708.5,710.0,95117,69046939.5
2025-03-31,708.0,713.0,680.0,709.0,120165,83909774.0
2025-04-01,711.5,728.0,700.0,701.0,105119,75367739.5
2025-04-02,708.0,714.0,700.5,708.5,35890,25404621.0
2025-04-03,712.0,755.0,704.5,720.0,314745,229385643.0
2025-04-04,725.5,731.5,671.0,672.5,144964,101214725.0
2025-04-07,667.0,683.5,608.5,638.0,302483,193748743.5
2025-04-08,638.0,668.0,631.0,637.5,94225,61245231.5
2025-04-09,637.5,676.0,624.5,666.0,240529,157414884.5
2025-04-10,671.0,675.5,652.5,659.0,88005,58479586.5
2025-04-11,659.5,673.0,658.0,667.0,60143,40150652.5
2025-04-14,668.5,686.5,663.0,666.5,73012,49266339.0
2025-04-15,665.0,684.0,660.0,664.0,39170,26190486.5
2025-04-16,664.0,676.0,658.0,667.5,43185,28881886.0
2025-04-17,672.5,682.0,666.5,677.5,47147,31848741.0
2025-04-18,677.5,694.5,664.5,687.0,125707,85841382.0
2025-04-21,694.0,710.0,691.0,699.5,95572,67110252.5
2025-04-22,705.0,717.5,700.0,714.0,110706,78685361.0
2025-04-23,713.5,723.0,697.0,701.0,150416,106738520.0
2025-04-24,701.0,725.5,701.0,704.5,271235,193289299.5
2025-04-25,708.0,714.5,701.0,705.5,82723,58577275.5
2025-04-28,707.0,716.5,705.0,709.0,82329,58495849.5
2025-04-29,710.0,715.0,685.0,697.5,69268,48486912.0
2025-04-30,690.5,698.0,682.0,690.5,27846,19204982.5
2025-05-02,690.0,693.0,676.5,676.5,28177,19244903.5
2025-05-05,676.0,718.0,672.5,692.5,212775,148647207.0
2025-05-06,696.0,705.0,687.0,697.0,65374,45687704.5
2025-05-07,697.0,702.5,694.5,697.0,30509,21318461.5
2025-05-08,698.0,703.0,696.0,697.0,17817,12457884.0
2025-05-12,699.0,714.5,697.0,706.0,60273,42582462.5
2025-05-13,707.0,714.5,702.5,710.5,53679,38120687.5
2025-05-14,711.5,717.0,703.0,704.5,49812,35497977.5
2025-05-15,708.0,712.0,701.0,708.0,18362,12974613.0
2025-05-16,708.0,715.0,696.5,705.0,37022,26148730.5
2025-05-19,707.5,716.0,701.0,707.0,57675,40950346.5
2025-05-20,708.5,710.0,701.0,703.0,19549,13771922.0
2025-05-21,707.0,711.5,698.0,700.5,26622,18717146.0
2025-05-22,701.0,703.0,690.5,695.5,39287,27324487.5
2025-05-23,700.0,703.5,692.0,695.5,37098,25937245.0
2025-05-26,703.0,703.0,681.5,688.0,61982,42631876.0
2025-05-27,691.0,702.0,683.5,694.5,61342,42532005.0
2025-05-28,696.5,720.0,694.0,710.0,155560,110468449.5
2025-05-29,711.5,712.0,700.0,701.5,46558,32883611.5
2025-05-30,702.0,712.0,701.5,709.0,38754,27429049.5
2025-06-02,710.5,724.0,701.0,722.0,104722,74865420.5
2025-06-03,724.5,743.5,723.0,741.0,147707,108615747.0
2025-06-04,743.5,779.0,742.5,769.5,439846,337667130.5
2025-06-05,770.0,797.0,769.5,791.5,322438,254074552.0
2025-06-06,795.5,797.0,766.0,788.0,269824,211902899.0
2025-06-09,788.0,831.0,773.0,788.0,895908,719112793.5
2025-06-10,776.0,792.0,750.5,765.5,742932,567097042.5
2025-06-11,695.0,699.0,622.0,666.0,719994,486536728.5
2025-06-13,665.5,671.5,643.0,650.0,178123,117456824.5
