Date,Open,High,Low,Close,Volume,Value
2025-03-07,91.18,93.81,88.5,91.07,159207500,14517382005.59
2025-03-10,91.19,92.0,90.15,90.99,47162079,4301487075.84
2025-03-11,91.29,91.86,89.5,90.7,64236484,5836773356.69
2025-03-12,90.6,91.18,89.75,90.31,37364218,3378964801.67
2025-03-13,90.01,91.67,87.6,89.86,114486726,10265246380.6
2025-03-14,89.5,91.5,89.18,90.99,53064071,4796044483.48
2025-03-17,91.13,93.75,90.95,92.6,94399735,8742462548.54
2025-03-18,93.0,93.18,90.05,90.13,119458595,10990108851.0
2025-03-19,90.38,91.25,89.3,90.65,58220298,5257130996.64
2025-03-20,90.66,91.35,90.3,90.72,38329904,3485236723.06
2025-03-21,90.62,91.33,89.58,89.82,43115370,3899041781.94
2025-03-24,89.82,89.87,88.5,89.05,30074585,2680966122.15
2025-03-25,88.82,91.45,87.74,90.99,71624735,6439072531.21
2025-03-26,91.22,91.46,88.87,89.11,51942776,4690156929.88
2025-03-27,89.02,89.9,87.0,87.07,60801126,5397697608.67
2025-03-28,87.0,87.76,82.2,82.35,110478148,9321787829.08
2025-03-31,82.56,83.54,79.38,81.96,76622296,6262477237.16
2025-04-01,82.04,83.46,78.55,78.78,67192645,5452837551.61
2025-04-02,78.78,80.62,78.31,79.88,59011465,4691606428.69
2025-04-03,80.02,80.89,75.7,77.86,76035974,5919037925.9
2025-04-04,78.5,78.66,72.08,72.25,112565622,8444707086.24
2025-04-07,72.02,73.85,67.76,70.89,174200251,12201684959.7
2025-04-08,71.66,72.64,67.51,67.76,103817837,7323085776.83
2025-04-09,67.34,73.49,66.1,73.28,167028382,11601921692.44
2025-04-10,73.67,74.41,70.7,73.16,115277129,8400176042.87
2025-04-11,73.25,76.84,72.96,76.76,86278762,6485062153.6
2025-04-14,77.0,78.29,75.09,75.5,84038520,6448795720.77
2025-04-15,75.88,77.47,75.23,77.1,71186705,5438907749.07
2025-04-16,76.85,80.18,76.34,79.73,95919691,7559387071.76
2025-04-17,79.74,83.37,79.73,83.28,99044151,8054955493.84
2025-04-18,82.0,84.18,80.61,83.3,112129272,9238737118.41
2025-04-21,84.0,85.87,83.65,85.39,72097960,6115485265.8
2025-04-22,85.52,88.1,84.41,86.32,109837031,9457169182.6
2025-04-23,86.35,86.59,83.4,85.4,88164757,7485048367.68
2025-04-24,85.4,86.97,84.93,85.52,57477105,4942765915.01
2025-04-25,86.4,87.78,85.92,87.24,78570788,6826801805.54
2025-04-28,87.62,109.04,85.9,98.55,662258015,66219536606.07
2025-04-29,98.75,100.62,95.08,97.3,252702303,24833865788.61
2025-04-30,97.4,98.41,94.71,98.1,131778296,12758500829.48
2025-05-02,98.44,98.45,96.07,96.6,55606044,5394139953.53
2025-05-05,96.4,97.7,95.56,96.19,77694102,7520041178.85
2025-05-06,96.35,98.28,95.92,97.42,61119518,5943962294.59
2025-05-07,97.6,98.35,96.8,97.64,48283001,4716295988.39
2025-05-08,97.8,98.82,97.35,97.75,29363640,2878463190.76
2025-05-12,98.11,100.33,97.8,99.72,82480580,8197733911.8
2025-05-13,99.81,100.09,98.91,99.17,32895260,3269882533.31
2025-05-14,99.18,99.66,96.5,97.0,41130665,4051122041.63
2025-05-15,97.0,98.0,96.05,97.25,46345691,4504994707.01
2025-05-16,97.26,98.12,94.35,97.19,79806290,7688194977.52
2025-05-19,97.3,99.05,96.55,96.97,54827575,5372013580.93
2025-05-20,97.21,97.32,96.1,96.3,23438344,2265968771.42
2025-05-21,96.33,97.03,95.31,95.65,21913342,2109012447.61
2025-05-22,95.87,96.68,94.24,95.18,56593274,5394220333.44
2025-05-23,95.23,96.27,95.01,95.5,21179104,2025115542.33
2025-05-26,95.5,95.5,91.34,92.25,71220223,6623206654.18
2025-05-27,92.25,94.28,90.22,93.59,53752749,4979326420.43
2025-05-28,93.77,95.85,93.73,95.78,53930012,5127529118.82
2025-05-29,95.87,95.98,93.87,94.17,30980421,2946801755.53
2025-05-30,94.17,96.64,93.11,93.9,82178565,7769180043.97
2025-06-02,94.0,94.36,91.1,93.47,65067051,6042040775.36
2025-06-03,93.49,95.5,93.48,95.41,42716344,4044689034.16
2025-06-04,95.4,96.86,94.55,95.1,63941642,6132148366.77
2025-06-05,95.12,96.1,95.12,95.44,24214002,2316678473.32
2025-06-06,95.5,98.5,92.82,93.27,97289727,9300019243.78
2025-06-09,93.68,94.57,93.03,94.27,44398367,4157533513.69
2025-06-10,94.4,95.04,93.25,93.5,29780096,2798921938.5
2025-06-11,93.5,94.37,93.13,93.44,29526966,2771253765.9
2025-06-13,96.4,98.38,95.31,98.12,75885452,7372639614.21
